 Full-Stack Developers with Django and React ,5 ное., Пловдив ,Speed – Software & Network Solutions,https://dev.bg/company/jobads/speed-software-network-solutions-full-stack-developers-with-django-and-react/,"[' Fullstack Development', ' JavaScript', ' Python', ' React']"
 Full-Stack Software Engineer (Angular + Java) ,5 ное., София ,BICA Services,https://dev.bg/company/jobads/bica-services-full-stack-software-engineer-angular-java/,"[' Angular', ' Fullstack Development', ' Java', ' JavaScript']"
 APPLICATION DEVELOPER ,5 ное.,  Remote,Xogito Group,https://dev.bg/company/jobads/xogito-group-application-developer/,"[' Fullstack Development', ' JavaScript', ' Ruby']"
 Senior .NET Full Stack Developer (.Net Core; ReactJS) ,5 ное.,  Remote,TSD Services,https://dev.bg/company/jobads/tsd-services-senior-net-full-stack-developer-net-core-reactjs-3/,"[' .NET', ' Fullstack Development']"
 Senior Full-Stack .NET Developer ,5 ное., Русе ,MentorMate,https://dev.bg/company/jobads/mentormate-senior-full-stack-net-developer-4/,"[' .NET', ' Fullstack Development', ' JavaScript']"
 Full-Stack Developer ,5 ное., София ,Top Skills Recruitment,https://dev.bg/company/jobads/full-stack-developer/,"[' .NET', ' Angular', ' Fullstack Development', ' JavaScript']"
 Full Stack Java Developer ,5 ное., София ,i:fao,https://dev.bg/company/jobads/ifao-full-stack-java-developer/,"[' Fullstack Development', ' Java', ' JavaScript']"
 Full Stack Software Engineer with JavaScript / Angular ,5 ное., София ,VMware Bulgaria,https://dev.bg/company/jobads/vmware-bulgaria-software-engineer-with-javascript-angular/,"[' Angular', ' Fullstack Development', ' JavaScript', ' Node.js']"
 APPLICATION ARCHITECT ,5 ное., София ,SoftServe,https://dev.bg/company/jobads/softserve-application-architect/,[' Fullstack Development']
 Senior Full-stack Developer ,5 ное., София ,QaiWare,https://dev.bg/company/jobads/qaiware-ltd-full-stack-developer-5/,"[' Fullstack Development', ' Java', ' JavaScript']"
 .NET Full Stack Developer (Mid/Senior Level) ,5 ное., Пловдив ,TSD Services,https://dev.bg/company/jobads/tsd-services-net-full-stack-developer-mid-level-2/,"[' .NET', ' Fullstack Development', ' JavaScript']"
 FULL STACK .NET DEVELOPER ,5 ное., София ,Holland Hires,https://dev.bg/company/jobads/full-stack-net-developer-2/,"[' .NET', ' Fullstack Development', ' JavaScript']"
